VendorID,passenger_count,fare_amount,mean_distance,mean_duration,rush_hour
2,1,6.0,1.0045161290322582,12.48279569892473,1
1,2,14.0,1.4741666666666666,11.185648148148148,1
1,2,18.5,5.2,16.366666666666667,0
2,1,4.0,0.5145454545454545,4.174242424242425,1
1,1,8.0,3.1915162454873647,15.618772563176893,0
2,1,15.5,1.4788571428571429,11.307619047619047,0
1,1,8.0,1.3199999999999998,9.476470588235294,1
2,1,18.0,4.0649999999999995,16.016666666666666,0
2,1,45.5,17.224,43.65,1
1,1,21.5,5.024,18.02,0
2,1,12.0,2.4779166666666668,15.940972222222221,0
1,1,11.0,2.9633333333333334,17.033333333333335,0
1,2,4.0,0.8211764705882354,4.561274509803922,1
2,1,5.5,1.3877777777777778,8.031481481481482,0
2,1,19.5,6.087142857142857,18.295238095238094,0
2,1,5.0,0.6828947368421052,4.494736842105263,0
2,4,11.0,1.9288888888888889,14.470370370370368,0
2,6,9.0,2.1418181818181816,13.395454545454545,0
2,3,12.5,2.260909090909091,15.786363636363637,0
1,1,12.0,1.7356,11.968,0
2,1,7.5,0.9939024390243902,8.804878048780488,0
1,1,5.5,0.7204347826086956,6.839130434782609,0
1,1,17.0,3.043636363636364,19.94393939393939,1
1,1,2.5,2.2558620689655173,3.0218390804597703,1
2,1,7.0,0.7531818181818182,5.8568181818181815,0
1,2,18.0,3.3175,18.4,0
2,1,4.5,1.0142105263157895,9.007894736842106,1
2,5,24.0,7.41,20.866666666666667,1
1,1,6.5,1.34375,12.832291666666666,1
2,1,12.5,2.562727272727273,18.87727272727273,1
2,2,6.0,2.1383333333333336,13.63888888888889,0
1,1,12.0,2.275,16.8625,0
2,1,4.5,0.32,1.825,1
1,1,8.5,2.022666666666667,11.957777777777778,1
2,1,3.5,0.5816363636363636,4.19469696969697,1
2,1,13.0,1.3118181818181818,10.590909090909092,1
1,1,19.5,3.9333333333333336,23.683333333333334,1
2,1,7.0,0.7782352941176471,6.505882352941177,0
2,5,11.5,2.68,14.25,1
2,2,32.5,10.29,24.75,1
1,1,23.5,5.61375,23.991666666666667,0
1,1,8.5,0.8047916666666667,5.777430555555555,0
1,1,8.5,1.7333333333333334,11.068888888888889,0
1,1,3.5,0.5758333333333333,2.9499999999999997,1
2,1,5.5,0.8345,6.94,0
1,1,7.0,0.8240909090909091,4.753409090909091,1
0,0,0.0,0.0,0.0,0
2,1,7.5,1.5530769230769232,13.426923076923078,0
2,1,62.5,16.876666666666665,38.955555555555556,0
1,3,10.0,1.042258064516129,6.738709677419355,0
2,3,7.0,0.9668965517241379,10.121264367816092,1
1,1,2.5,0.47875,4.45,0
2,1,10.0,1.00275,8.020416666666666,1
1,1,6.0,0.9511111111111111,4.648148148148149,1
2,1,29.0,9.5,37.141666666666666,0
2,2,2.5,0.02,0.16666666666666666,1
2,6,11.0,1.2316176470588236,13.530147058823529,0
1,1,6.0,0.5816363636363636,4.19469696969697,0
2,1,5.0,0.48814814814814816,4.387037037037037,0
2,1,8.5,1.6224999999999998,12.016666666666666,0
2,1,10.0,1.683478260869565,12.531159420289857,0
1,1,7.0,0.9668965517241379,10.121264367816092,1
2,1,9.0,0.8635714285714285,6.4750000000000005,0
1,1,12.5,1.487142857142857,9.857142857142858,0
2,1,15.5,3.2785714285714285,17.39047619047619,1
1,1,11.5,1.01,7.005555555555556,0
2,1,11.5,2.23,12.879166666666666,0
2,1,10.5,3.388888888888889,11.983333333333333,1
2,1,4.5,0.5816363636363636,4.19469696969697,1
1,1,10.0,1.8090909090909089,12.101515151515152,0
2,5,10.5,1.7175,12.0125,1
2,1,5.5,1.0533333333333335,5.711111111111111,0
2,1,10.0,1.61625,13.197916666666668,1
1,1,31.0,8.83,28.462121212121215,1
1,1,6.5,0.6854838709677419,7.965591397849463,1
1,1,4.5,1.1286666666666667,4.945555555555556,0
2,1,41.0,13.31,39.916666666666664,1
2,5,23.5,4.986666666666667,25.688888888888886,0
1,1,8.5,1.4741666666666666,11.185648148148148,0
2,2,24.0,4.58875,25.316666666666666,0
1,1,18.0,1.855,15.148333333333335,1
2,5,27.0,6.98,32.083333333333336,1
2,1,21.5,3.964,22.023333333333333,1
1,1,15.0,3.75,8.98611111111111,1
1,1,6.5,1.4125,12.547500000000001,1
1,2,10.5,1.62,11.389814814814814,0
2,1,4.0,1.2558064516129033,10.399462365591397,1
1,1,15.5,3.0725,33.00416666666666,1
2,6,51.5,15.837142857142856,40.759523809523806,0
1,1,10.5,1.3325,10.908333333333333,1
1,2,10.0,1.207142857142857,8.170238095238094,1
2,3,4.0,0.9587096774193548,7.353225806451612,0
1,1,5.0,0.6699999999999999,4.283333333333333,0
1,1,10.0,2.106923076923077,18.58205128205128,1
2,1,14.0,1.2128571428571429,10.923015873015872,1
1,1,8.0,1.4092857142857143,12.20952380952381,1
2,5,9.0,1.2377777777777779,9.737037037037037,0
1,4,10.0,2.3992307692307695,18.253846153846155,1
2,5,24.5,5.725,29.458333333333332,1
2,2,8.0,1.1636,8.545333333333334,1
2,6,14.0,3.9400000000000004,15.983333333333333,0
2,1,29.0,5.203333333333333,25.28333333333333,0
2,3,3.5,0.7066666666666667,4.944444444444444,0
2,1,7.5,1.0374193548387096,6.557258064516129,0
2,1,7.5,1.1652173913043478,8.65144927536232,0
2,5,5.0,0.7116666666666667,6.664351851851851,1
2,5,4.5,0.7273076923076923,5.239743589743591,0
2,2,13.0,2.5324999999999998,13.875,0
2,2,13.5,3.1975,30.35,0
2,1,4.0,0.5779310344827585,4.507471264367816,1
2,1,12.0,3.3266666666666667,17.383333333333333,0
2,1,52.0,17.654,49.833333333333336,0
1,1,5.0,1.2545454545454546,10.387878787878789,1
2,1,6.5,1.458,12.723333333333333,1
1,1,10.5,2.6,8.166666666666666,0
2,6,6.5,0.928695652173913,8.094927536231884,0
2,1,6.5,0.7854545454545455,5.865151515151515,1
1,1,12.5,2.728,13.780000000000001,1
1,1,27.0,7.145,27.15,0
1,1,16.5,2.8049999999999997,14.706944444444446,1
1,1,52.0,18.761904761904763,58.24603174603175,1
2,1,9.0,1.474705882352941,13.119607843137254,1
1,1,7.5,0.9668965517241379,10.121264367816092,1
1,1,6.5,0.886875,7.039583333333334,0
1,1,6.5,1.2165217391304348,8.710869565217392,0
2,1,5.5,0.89,5.856349206349207,1
2,1,7.0,1.2285365853658536,9.378861788617886,1
1,2,16.5,4.3100000000000005,19.8125,1
1,1,23.5,5.9,30.783333333333335,0
2,1,6.0,0.6303846153846154,5.390384615384615,0
2,3,8.5,0.9008333333333334,10.880555555555555,1
1,1,28.5,9.2,22.533333333333335,0
2,1,12.0,2.2085714285714286,12.685714285714285,1
1,1,14.5,3.635,18.09166666666667,0
2,5,32.0,10.325,24.2,0
1,1,7.5,1.0116216216216216,7.7081081081081075,0
2,5,13.5,2.0314285714285716,11.767857142857142,0
1,1,13.5,4.154285714285714,20.27857142857143,0
2,1,52.0,4.73,15.616666666666667,0
2,1,10.5,2.29,10.866666666666667,0
2,1,11.0,1.6625,16.491666666666667,0
1,1,10.0,1.4584000000000001,11.556666666666667,1
2,1,6.5,1.2666666666666666,9.129629629629628,0
2,1,8.0,0.7666666666666666,7.384722222222223,1
2,6,8.0,1.0263461538461538,9.357051282051282,1
1,1,5.0,1.032857142857143,5.978571428571429,0
2,6,62.5,20.2,40.483333333333334,0
2,5,5.0,0.6828947368421052,4.494736842105263,1
1,1,3.5,0.7476190476190476,4.584126984126984,0
1,1,5.0,1.0374193548387096,6.557258064516129,1
2,1,6.5,0.8309375,8.105208333333334,0
2,1,8.0,0.9757777777777779,11.678518518518517,0
1,1,5.5,1.307037037037037,9.525925925925925,0
2,1,8.0,2.5399999999999996,13.941025641025643,1
1,1,3.5,0.6366666666666666,3.3740740740740742,0
2,1,7.5,1.6566666666666665,7.616666666666667,0
1,1,2.5,0.0,0.45,1
1,3,5.0,1.1402083333333333,7.668055555555555,1
2,5,6.5,1.3877777777777778,8.031481481481482,0
2,3,7.5,0.99,9.214285714285714,0
2,1,12.5,2.382,17.321666666666665,1
1,1,17.0,1.2657894736842106,14.1359649122807,1
1,1,30.5,7.9,39.06666666666667,0
1,2,28.0,6.1,40.666666666666664,0
1,1,41.5,15.0,26.55,0
1,2,16.0,5.324,25.46333333333333,0
2,6,13.0,3.496,12.146666666666667,0
1,3,6.0,1.1625,11.910833333333333,0
2,1,8.0,1.7356,11.968,0
1,1,4.0,0.7217073170731707,5.3288617886178855,1
1,3,32.5,10.7,22.983333333333334,0
2,2,14.0,3.13,16.516666666666666,0
2,1,13.0,2.88,17.71904761904762,0
2,1,10.5,2.638333333333333,16.469444444444445,0
2,1,27.0,5.455,27.6,1
1,1,6.5,3.1915162454873647,15.618772563176893,1
2,2,12.5,2.1418181818181816,13.395454545454545,0
2,1,3.5,0.5354545454545455,4.47020202020202,0
2,1,9.5,3.278,15.063333333333333,1
1,1,15.5,2.8425000000000002,17.141666666666666,1
2,1,15.5,2.3992307692307695,18.253846153846155,1
2,2,52.0,18.761904761904763,58.24603174603175,0
2,1,7.5,1.0833333333333333,5.186111111111111,0
1,1,14.5,2.71,17.608333333333334,0
2,1,8.0,1.4788571428571429,11.307619047619047,0
1,1,6.0,0.9963636363636365,12.066666666666668,1
2,2,12.0,1.5977777777777777,13.516666666666667,0
1,1,6.0,0.8548,8.276666666666666,1
2,1,8.5,1.051212121212121,8.531818181818181,1
2,1,17.0,4.26,18.195833333333333,0
1,1,18.0,5.65,19.916666666666664,0
1,2,5.5,1.4675510204081632,9.273469387755101,1
2,1,4.5,0.8047916666666667,5.777430555555555,0
1,1,7.5,1.4047368421052633,8.096491228070176,1
2,1,7.5,1.458,12.723333333333333,0
2,2,11.5,2.05875,11.25625,1
2,1,7.0,0.8814285714285715,7.25,1
1,1,9.5,2.260909090909091,15.786363636363637,0
1,1,16.0,3.388888888888889,11.983333333333333,1
1,1,8.0,1.1982926829268292,6.242682926829269,0
2,1,52.0,17.096,42.92,0
1,1,6.0,0.6842424242424242,6.609090909090909,0
2,1,34.0,1.0833333333333333,5.886111111111112,0
2,1,10.0,2.29,17.11190476190476,0
1,1,9.5,0.0,0.0,1
2,1,7.5,1.0878125,9.413541666666667,1
2,1,6.0,0.7480952380952381,9.055555555555555,0
2,1,7.5,1.918,10.553333333333333,0
1,2,7.0,0.6828947368421052,4.494736842105263,0
1,2,14.5,2.5399999999999996,13.941025641025643,0
1,3,9.5,1.4705882352941178,13.030392156862746,0
2,1,5.5,1.0254761904761904,9.002380952380953,1
2,1,6.5,1.1295454545454546,13.024242424242425,1
2,1,8.5,1.2657894736842106,14.1359649122807,0
2,2,16.5,4.495,16.141666666666666,0
2,5,11.5,0.7352941176470589,10.966666666666667,1
2,3,24.5,0.89,5.856349206349207,0
2,1,5.5,1.0878125,9.413541666666667,1
2,5,10.5,2.964,12.809999999999999,0
2,1,10.0,2.072,9.923333333333334,0
2,6,13.5,2.1055555555555556,15.672222222222224,0
1,1,4.5,0.5180851063829788,6.704609929078014,0
1,4,5.5,0.8542857142857143,6.105952380952381,0
2,1,7.5,0.9963636363636365,12.066666666666668,0
2,1,10.0,1.4708333333333332,9.312847222222222,1
1,1,10.0,2.4588888888888887,13.066666666666668,0
2,2,8.5,1.0025,6.179166666666666,0
1,1,13.0,2.122,11.273333333333333,1
2,5,4.5,0.5816363636363636,4.19469696969697,1
1,1,39.0,12.9,31.8,0
1,1,5.0,1.0374193548387096,6.557258064516129,0
1,1,6.5,1.5666666666666667,9.6,1
1,1,5.5,1.00275,8.020416666666666,0
2,1,29.0,9.918333333333333,27.387962962962963,0
1,1,11.0,1.7973076923076923,11.732692307692307,0
1,1,6.5,1.307037037037037,9.525925925925925,1
1,1,6.0,1.1625,11.910833333333333,1
2,1,13.0,2.975,15.208333333333332,0
1,2,7.0,1.1173684210526316,10.406140350877193,1
1,1,18.0,4.2,21.55,0
2,1,7.0,0.9766666666666667,9.106666666666667,0
2,2,16.0,1.5231578947368423,11.078070175438596,0
2,2,5.0,1.0392063492063492,8.184126984126985,0
1,1,6.0,1.1228571428571428,8.315476190476192,1
2,1,38.5,13.26,33.93333333333333,0
1,1,26.0,5.949999999999999,42.400000000000006,1
2,1,7.0,1.0229090909090908,8.365454545454545,0
1,1,35.5,12.0,27.2,1
1,1,12.0,3.2785714285714285,17.39047619047619,0
1,1,4.0,0.8548,8.276666666666666,0
2,5,4.5,0.6947826086956522,5.81159420289855,1
1,1,7.0,0.8962162162162162,5.78963963963964,1
2,6,52.0,17.994285714285716,46.34047619047619,0
2,1,24.5,4.456,27.3,1
2,1,14.0,2.3473333333333333,22.615555555555556,0
2,1,20.5,5.325,26.95,0
2,5,20.5,1.9278947368421053,14.040350877192981,0
2,6,3.5,0.5758333333333333,2.9499999999999997,0
2,1,28.0,8.283333333333333,29.41111111111111,0
1,1,4.0,1.0229090909090908,8.365454545454545,1
2,1,7.5,1.30875,6.758333333333333,0
2,1,16.5,3.176,18.343333333333334,0
2,5,9.0,1.2969696969696969,10.697474747474747,1
1,4,9.5,1.6119999999999999,9.234444444444446,0
2,1,13.5,2.86375,17.583333333333332,1
2,1,17.0,3.2399999999999998,28.888333333333332,1
2,1,5.5,1.3294117647058825,7.887254901960785,0
1,1,11.5,1.7533333333333334,9.864285714285714,1
1,1,17.5,3.65,23.45555555555556,0
1,1,5.0,1.1664999999999999,8.756666666666666,0
1,1,11.5,1.1664999999999999,8.756666666666666,0
2,1,6.5,1.0254761904761904,9.002380952380953,0
1,1,6.5,0.8522727272727273,6.58560606060606,1
2,1,9.0,1.2316176470588236,13.530147058823529,1
1,1,6.0,1.0836363636363637,11.473484848484848,0
1,1,6.5,1.2804166666666668,8.785416666666666,1
1,1,13.0,1.436,17.813333333333333,1
2,1,9.0,1.181904761904762,10.54047619047619,0
2,1,8.5,3.4499999999999997,17.822222222222223,0
2,1,8.5,1.7955555555555556,10.344444444444443,1
2,1,6.0,0.9964999999999999,6.278333333333333,0
